Reporting Start,Reporting End,Campaign Name,Campaign Type,Ad Set Name,Ad Name,Delivery,Attribution Setting,Result Type,Spend (BRL),Impressions,Link Clicks,Conversions,Reach,Frequency
2026-01-15,2026-01-15,Nubank | Brand Awareness | Reach | Q1,Branding,BR_18-34_Interests_Finance,Nu_Brand_Awareness_Hero_Video_15s,Learning (CBO),1-day click,Account Opening,517.80,151220,149,1,110391,1.37
2026-01-18,2026-01-18,Nubank | Brand Awareness | Reach | Q1,Branding,BR_18-34_Interests_Finance,Nu_Brand_Awareness_Hero_Video_15s,Learning,1-day click,Account Opening,1937.46,346201,92,3,259651,1.33
2026-01-21,2026-01-21,Nubank | Brand Awareness | Reach | Q1,Branding,BR_18-34_Interests_Finance,Nu_Brand_Awareness_Hero_Video_15s,Learning (CBO),1-day click,Account Opening,1036.42,170148,88,2,120805,1.41
2026-01-24,2026-01-24,Nubank | Brand Awareness | Reach | Q1,Branding,BR_18-34_Interests_Finance,Nu_Brand_Awareness_Hero_Video_15s,Learning,1-day click,Account Opening,190.06,441174,62,0,269116,1.64
2026-01-27,2026-01-27,Nubank | Brand Awareness | Reach | Q1,Branding,BR_18-34_Interests_Finance,Nu_Brand_Awareness_Hero_Video_15s,Learning,1-day click,Account Opening,776.28,131075,40,2,90442,1.45
2026-01-30,2026-01-30,Nubank | Brand Awareness | Reach | Q1,Branding,BR_18-34_Interests_Finance,Nu_Brand_Awareness_Hero_Video_15s,Learning (CBO),1-day click,Account Opening,804.24,234800,160,2,162012,1.45
2026-02-02,2026-02-02,Nubank | Brand Awareness | Reach | Q1,Branding,BR_18-34_Interests_Finance,Nu_Brand_Awareness_Hero_Video_15s,Learning Limited,1-day click,Account Opening,567.84,226504,125,0,185733,1.22
2026-02-05,2026-02-05,Nubank | Brand Awareness | Reach | Q1,Branding,BR_18-34_Interests_Finance,Nu_Brand_Awareness_Hero_Video_15s,Learning (CBO),1-day click,Account Opening,763.66,280897,114,2,174156,1.61
2026-02-08,2026-02-08,Nubank | Brand Awareness | Reach | Q1,Branding,BR_18-34_Interests_Finance,Nu_Brand_Awareness_Hero_Video_15s,Learning Limited,1-day click,Account Opening,1856.25,382587,112,3,313721,1.22
2026-01-15,2026-01-15,Nubank | Brand Awareness | Reach | Q1,Branding,BR_18-34_Interests_Finance,Nu_Brand_TopOfMind_Carousel_Lifestyle,Learning (CBO),1-day click,Account Opening,260.34,338409,33,0,240270,1.41
2026-01-18,2026-01-18,Nubank | Brand Awareness | Reach | Q1,Branding,BR_18-34_Interests_Finance,Nu_Brand_TopOfMind_Carousel_Lifestyle,Learning (CBO),1-day click,Account Opening,410.79,348985,50,0,226840,1.54
2026-01-21,2026-01-21,Nubank | Brand Awareness | Reach | Q1,Branding,BR_18-34_Interests_Finance,Nu_Brand_TopOfMind_Carousel_Lifestyle,Learning (CBO),1-day click,Account Opening,211.45,345259,96,0,238229,1.45
2026-01-24,2026-01-24,Nubank | Brand Awareness | Reach | Q1,Branding,BR_18-34_Interests_Finance,Nu_Brand_TopOfMind_Carousel_Lifestyle,Learning Limited,1-day click,Account Opening,534.64,234672,146,0,154884,1.52
2026-01-27,2026-01-27,Nubank | Brand Awareness | Reach | Q1,Branding,BR_18-34_Interests_Finance,Nu_Brand_TopOfMind_Carousel_Lifestyle,Learning,1-day click,Account Opening,815.86,447920,119,2,291148,1.54
2026-01-30,2026-01-30,Nubank | Brand Awareness | Reach | Q1,Branding,BR_18-34_Interests_Finance,Nu_Brand_TopOfMind_Carousel_Lifestyle,Learning Limited,1-day click,Account Opening,383.54,259281,68,0,184090,1.41
2026-02-02,2026-02-02,Nubank | Brand Awareness | Reach | Q1,Branding,BR_18-34_Interests_Finance,Nu_Brand_TopOfMind_Carousel_Lifestyle,Learning (CBO),1-day click,Account Opening,784.40,125180,52,2,93885,1.33
2026-02-05,2026-02-05,Nubank | Brand Awareness | Reach | Q1,Branding,BR_18-34_Interests_Finance,Nu_Brand_TopOfMind_Carousel_Lifestyle,Learning,1-day click,Account Opening,873.12,299080,90,2,230292,1.30
2026-02-08,2026-02-08,Nubank | Brand Awareness | Reach | Q1,Branding,BR_18-34_Interests_Finance,Nu_Brand_TopOfMind_Carousel_Lifestyle,Learning Limited,1-day click,Account Opening,543.35,377679,87,0,283259,1.33
2026-01-15,2026-01-15,Nubank | Brand Awareness | Reach | Q1,Branding,BR_18-34_Interests_Finance,Nu_Brand_Consideration_StaticBanner_Purple,Learning,1-day click,Account Opening,1754.73,352752,178,3,292784,1.20
2026-01-18,2026-01-18,Nubank | Brand Awareness | Reach | Q1,Branding,BR_18-34_Interests_Finance,Nu_Brand_Consideration_StaticBanner_Purple,Learning Limited,1-day click,Account Opening,1177.26,381004,139,2,281943,1.35
2026-01-21,2026-01-21,Nubank | Brand Awareness | Reach | Q1,Branding,BR_18-34_Interests_Finance,Nu_Brand_Consideration_StaticBanner_Purple,Learning (CBO),1-day click,Account Opening,1280.92,421550,112,2,257146,1.64
2026-01-24,2026-01-24,Nubank | Brand Awareness | Reach | Q1,Branding,BR_18-34_Interests_Finance,Nu_Brand_Consideration_StaticBanner_Purple,Learning,1-day click,Account Opening,402.11,362359,51,0,293511,1.23
2026-01-27,2026-01-27,Nubank | Brand Awareness | Reach | Q1,Branding,BR_18-34_Interests_Finance,Nu_Brand_Consideration_StaticBanner_Purple,Learning Limited,1-day click,Account Opening,1948.77,282772,83,3,214907,1.32
2026-01-30,2026-01-30,Nubank | Brand Awareness | Reach | Q1,Branding,BR_18-34_Interests_Finance,Nu_Brand_Consideration_StaticBanner_Purple,Learning,1-day click,Account Opening,195.99,96453,148,0,79091,1.22
2026-02-02,2026-02-02,Nubank | Brand Awareness | Reach | Q1,Branding,BR_18-34_Interests_Finance,Nu_Brand_Consideration_StaticBanner_Purple,Learning (CBO),1-day click,Account Opening,319.34,152590,171,0,93080,1.64
2026-02-05,2026-02-05,Nubank | Brand Awareness | Reach | Q1,Branding,BR_18-34_Interests_Finance,Nu_Brand_Consideration_StaticBanner_Purple,Learning,1-day click,Account Opening,378.25,395829,124,0,300830,1.32
2026-02-08,2026-02-08,Nubank | Brand Awareness | Reach | Q1,Branding,BR_18-34_Interests_Finance,Nu_Brand_Consideration_StaticBanner_Purple,Learning (CBO),1-day click,Account Opening,203.07,141602,47,0,94873,1.49
2026-01-15,2026-01-15,Nubank | Brand Awareness | Reach | Q1,Branding,BR_18-34_Interests_Finance,Nu_Brand_Reach_Video_30s_Testimonial,Learning Limited,1-day click,Account Opening,543.97,359288,122,1,262280,1.37
2026-01-18,2026-01-18,Nubank | Brand Awareness | Reach | Q1,Branding,BR_18-34_Interests_Finance,Nu_Brand_Reach_Video_30s_Testimonial,Learning (CBO),1-day click,Account Opening,1225.18,390835,181,2,324393,1.20
2026-01-21,2026-01-21,Nubank | Brand Awareness | Reach | Q1,Branding,BR_18-34_Interests_Finance,Nu_Brand_Reach_Video_30s_Testimonial,Learning Limited,1-day click,Account Opening,1048.74,439511,193,2,351609,1.25
2026-01-24,2026-01-24,Nubank | Brand Awareness | Reach | Q1,Branding,BR_18-34_Interests_Finance,Nu_Brand_Reach_Video_30s_Testimonial,Learning,1-day click,Account Opening,343.85,244480,107,0,200474,1.22
2026-01-27,2026-01-27,Nubank | Brand Awareness | Reach | Q1,Branding,BR_18-34_Interests_Finance,Nu_Brand_Reach_Video_30s_Testimonial,Learning Limited,1-day click,Account Opening,490.40,125688,80,1,95523,1.32
2026-01-30,2026-01-30,Nubank | Brand Awareness | Reach | Q1,Branding,BR_18-34_Interests_Finance,Nu_Brand_Reach_Video_30s_Testimonial,Learning,1-day click,Account Opening,569.66,405843,116,1,300324,1.35
2026-02-02,2026-02-02,Nubank | Brand Awareness | Reach | Q1,Branding,BR_18-34_Interests_Finance,Nu_Brand_Reach_Video_30s_Testimonial,Learning Limited,1-day click,Account Opening,500.54,422306,105,1,266053,1.59
2026-02-05,2026-02-05,Nubank | Brand Awareness | Reach | Q1,Branding,BR_18-34_Interests_Finance,Nu_Brand_Reach_Video_30s_Testimonial,Learning (CBO),1-day click,Account Opening,874.06,317894,55,2,206631,1.54
2026-02-08,2026-02-08,Nubank | Brand Awareness | Reach | Q1,Branding,BR_18-34_Interests_Finance,Nu_Brand_Reach_Video_30s_Testimonial,Learning Limited,1-day click,Account Opening,1318.77,166978,62,3,115215,1.45
2026-01-14,2026-01-14,Nubank | Brand Awareness | Reach | Q1,Branding,BR_25-44_Broad,Nu_Brand_Awareness_Story_AnimatedLogo,Active,1-day click,Account Opening,1230.15,285611,191,3,205640,1.39
2026-01-17,2026-01-17,Nubank | Brand Awareness | Reach | Q1,Branding,BR_25-44_Broad,Nu_Brand_Awareness_Story_AnimatedLogo,Not Delivering,1-day click,Account Opening,2082.95,95278,108,5,64789,1.47
2026-01-20,2026-01-20,Nubank | Brand Awareness | Reach | Q1,Branding,BR_25-44_Broad,Nu_Brand_Awareness_Story_AnimatedLogo,Active,1-day click,Account Opening,2682.96,123359,110,7,77716,1.59
2026-01-23,2026-01-23,Nubank | Brand Awareness | Reach | Q1,Branding,BR_25-44_Broad,Nu_Brand_Awareness_Story_AnimatedLogo,Active,1-day click,Account Opening,2451.76,149308,31,4,113474,1.32
2026-01-26,2026-01-26,Nubank | Brand Awareness | Reach | Q1,Branding,BR_25-44_Broad,Nu_Brand_Awareness_Story_AnimatedLogo,Active,1-day click,Account Opening,1776.03,107517,32,3,81713,1.32
2026-01-29,2026-01-29,Nubank | Brand Awareness | Reach | Q1,Branding,BR_25-44_Broad,Nu_Brand_Awareness_Story_AnimatedLogo,Not Delivering,1-day click,Account Opening,2431.56,353278,171,6,219032,1.61
2026-02-01,2026-02-01,Nubank | Brand Awareness | Reach | Q1,Branding,BR_25-44_Broad,Nu_Brand_Awareness_Story_AnimatedLogo,Active,1-day click,Account Opening,3635.87,354617,121,7,234047,1.52
2026-01-14,2026-01-14,Nubank | Brand Awareness | Reach | Q1,Branding,BR_25-44_Broad,Nu_Brand_TopOfMind_Reel_FinancialFreedom,Completed,1-day click,Account Opening,3100.86,313200,158,6,200448,1.56
2026-01-17,2026-01-17,Nubank | Brand Awareness | Reach | Q1,Branding,BR_25-44_Broad,Nu_Brand_TopOfMind_Reel_FinancialFreedom,Active,1-day click,Account Opening,3752.94,202186,183,6,169836,1.19
2026-01-20,2026-01-20,Nubank | Brand Awareness | Reach | Q1,Branding,BR_25-44_Broad,Nu_Brand_TopOfMind_Reel_FinancialFreedom,Active,1-day click,Account Opening,4406.50,127586,42,7,96965,1.32
2026-01-23,2026-01-23,Nubank | Brand Awareness | Reach | Q1,Branding,BR_25-44_Broad,Nu_Brand_TopOfMind_Reel_FinancialFreedom,Active,1-day click,Account Opening,1449.81,157918,114,3,96330,1.64
2026-01-26,2026-01-26,Nubank | Brand Awareness | Reach | Q1,Branding,BR_25-44_Broad,Nu_Brand_TopOfMind_Reel_FinancialFreedom,Active,1-day click,Account Opening,2981.09,85565,49,7,59895,1.43
2026-01-29,2026-01-29,Nubank | Brand Awareness | Reach | Q1,Branding,BR_25-44_Broad,Nu_Brand_TopOfMind_Reel_FinancialFreedom,Not Delivering,1-day click,Account Opening,3446.24,336335,126,7,205164,1.64
2026-02-01,2026-02-01,Nubank | Brand Awareness | Reach | Q1,Branding,BR_25-44_Broad,Nu_Brand_TopOfMind_Reel_FinancialFreedom,Active,1-day click,Account Opening,2415.76,103389,51,4,77542,1.33
2026-01-14,2026-01-14,Nubank | Brand Awareness | Reach | Q1,Branding,BR_25-44_Broad,Nu_Brand_Consideration_Video_WhyNubank,Not Delivering,1-day click,Account Opening,4511.04,313432,186,8,247611,1.27
2026-01-17,2026-01-17,Nubank | Brand Awareness | Reach | Q1,Branding,BR_25-44_Broad,Nu_Brand_Consideration_Video_WhyNubank,Active,1-day click,Account Opening,2178.50,433674,193,5,264541,1.64
2026-01-20,2026-01-20,Nubank | Brand Awareness | Reach | Q1,Branding,BR_25-44_Broad,Nu_Brand_Consideration_Video_WhyNubank,Active,1-day click,Account Opening,914.74,159615,32,2,122904,1.30
2026-01-23,2026-01-23,Nubank | Brand Awareness | Reach | Q1,Branding,BR_25-44_Broad,Nu_Brand_Consideration_Video_WhyNubank,Active,1-day click,Account Opening,2185.68,409737,123,4,254037,1.61
2026-01-26,2026-01-26,Nubank | Brand Awareness | Reach | Q1,Branding,BR_25-44_Broad,Nu_Brand_Consideration_Video_WhyNubank,Active,1-day click,Account Opening,2364.06,182167,117,6,138447,1.32
2026-01-29,2026-01-29,Nubank | Brand Awareness | Reach | Q1,Branding,BR_25-44_Broad,Nu_Brand_Consideration_Video_WhyNubank,Active,1-day click,Account Opening,2995.85,235360,46,5,200056,1.18
2026-02-01,2026-02-01,Nubank | Brand Awareness | Reach | Q1,Branding,BR_25-44_Broad,Nu_Brand_Consideration_Video_WhyNubank,Not Delivering,1-day click,Account Opening,3187.45,411481,146,7,316840,1.30
2026-01-13,2026-01-13,Nubank | Brand Awareness | Reach | Q1,Branding,BR_18-24_Lookalike_1pct,Nu_Brand_Reach_StaticBanner_NoCreditCardFee,Active,1-day click,Account Opening,1837.86,315275,83,3,252220,1.25
2026-01-16,2026-01-16,Nubank | Brand Awareness | Reach | Q1,Branding,BR_18-24_Lookalike_1pct,Nu_Brand_Reach_StaticBanner_NoCreditCardFee,Active,1-day click,Account Opening,972.94,90618,32,2,66151,1.37
2026-01-19,2026-01-19,Nubank | Brand Awareness | Reach | Q1,Branding,BR_18-24_Lookalike_1pct,Nu_Brand_Reach_StaticBanner_NoCreditCardFee,Active,1-day click,Account Opening,3805.92,163620,89,8,111262,1.47
2026-01-22,2026-01-22,Nubank | Brand Awareness | Reach | Q1,Branding,BR_18-24_Lookalike_1pct,Nu_Brand_Reach_StaticBanner_NoCreditCardFee,Active,1-day click,Account Opening,3590.79,324919,40,7,243689,1.33
2026-01-25,2026-01-25,Nubank | Brand Awareness | Reach | Q1,Branding,BR_18-24_Lookalike_1pct,Nu_Brand_Reach_StaticBanner_NoCreditCardFee,Active,1-day click,Account Opening,4458.96,357578,104,8,243153,1.47
2026-01-13,2026-01-13,Nubank | Brand Awareness | Reach | Q1,Branding,BR_18-24_Lookalike_1pct,Nu_Brand_Awareness_Carousel_ProductShowcase,Completed,1-day click,Account Opening,4065.60,166121,166,7,127913,1.30
2026-01-16,2026-01-16,Nubank | Brand Awareness | Reach | Q1,Branding,BR_18-24_Lookalike_1pct,Nu_Brand_Awareness_Carousel_ProductShowcase,Active,1-day click,Account Opening,4107.60,417668,80,7,271484,1.54
2026-01-19,2026-01-19,Nubank | Brand Awareness | Reach | Q1,Branding,BR_18-24_Lookalike_1pct,Nu_Brand_Awareness_Carousel_ProductShowcase,Active,1-day click,Account Opening,1060.84,208281,186,2,143714,1.45
2026-01-22,2026-01-22,Nubank | Brand Awareness | Reach | Q1,Branding,BR_18-24_Lookalike_1pct,Nu_Brand_Awareness_Carousel_ProductShowcase,Active,1-day click,Account Opening,1250.06,260376,109,2,161433,1.61
